22.0627092, 50.5719676,
22.06262, 50.57195,
22.06244, 50.57191,
22.06237, 50.57189,
22.06226, 50.57186,
22.06217, 50.57184,
22.06198, 50.5718,
22.06165, 50.57172,
22.06146, 50.57168,
22.06124, 50.57163,
22.06104, 50.57158,
22.06069, 50.5715,
22.06067, 50.5715,
22.06046, 50.57145,
22.06004, 50.57135,
22.05948, 50.57122,
22.05939, 50.5712,
22.05927, 50.57114,
22.05908, 50.57106,
22.05887, 50.57127,
22.05882, 50.57134,
22.0588, 50.57135,
22.05874, 50.57144,
22.05866, 50.57157,
22.05859, 50.57161,
22.05843, 50.57167,
22.05839, 50.57169,
22.05835, 50.57171,
22.05813, 50.57183,
22.05794, 50.57194,
22.0578, 50.57204,
22.05769, 50.57216,
22.05759, 50.57229,
22.05752, 50.57237,
22.05752, 50.57237,
22.0575, 50.57237,
22.05743, 50.57235,
22.0573, 50.57232,
22.05723, 50.57231,
22.05704, 50.57227,
22.05684, 50.57222,
22.05659, 50.57216,
22.0564714, 50.5721286,
